session_id,user_key,date_key,session_start,session_end,session_duration_minutes,event_count,unique_products,session_revenue
02445e3b05611b85_S1,1,20230602,2023-06-02 22:51:00,2023-06-02 22:51:00,0.0,1,1,1771.295
02445e3b05611b85_S2,1,20230604,2023-06-04 10:26:00,2023-06-04 10:26:00,0.0,1,1,2533.16
02445e3b05611b85_S3,1,20230605,2023-06-05 19:54:00,2023-06-05 19:54:00,0.0,1,1,1686.795
02d7e9358a810d46_S1,2,20230602,2023-06-02 22:44:00,2023-06-02 22:44:00,0.0,1,1,2722.57
02d7e9358a810d46_S2,2,20230604,2023-06-04 03:14:00,2023-06-04 03:14:00,0.0,1,1,1011.97
02d7e9358a810d46_S3,2,20230604,2023-06-04 11:37:00,2023-06-04 11:37:00,0.0,1,1,1444.58
02d7e9358a810d46_S4,2,20230606,2023-06-06 16:41:00,2023-06-06 16:41:00,0.0,1,1,1686.795
02e8f7b0c33be88e_S1,3,20230601,2023-06-01 15:42:00,2023-06-01 15:42:00,0.0,1,1,1771.295
02e8f7b0c33be88e_S2,3,20230601,2023-06-01 20:54:00,2023-06-01 20:54:00,0.0,1,1,2777.57
02e8f7b0c33be88e_S3,3,20230602,2023-06-02 15:42:00,2023-06-02 15:42:00,0.0,1,1,1664.01
02e8f7b0c33be88e_S4,3,20230604,2023-06-04 04:01:00,2023-06-04 04:01:00,0.0,1,1,1771.295
02e8f7b0c33be88e_S5,3,20230604,2023-06-04 05:35:00,2023-06-04 05:35:00,0.0,1,1,1686.795
02e8f7b0c33be88e_S6,3,20230606,2023-06-06 02:53:00,2023-06-06 02:53:00,0.0,1,1,1771.295
03e994e29c20d135_S1,4,20230604,2023-06-04 14:16:00,2023-06-04 14:16:00,0.0,1,1,2223.09
03e994e29c20d135_S2,4,20230605,2023-06-05 02:53:00,2023-06-05 02:53:00,0.0,1,1,164.57
03e994e29c20d135_S3,4,20230605,2023-06-05 18:01:00,2023-06-05 18:01:00,0.0,1,1,1662.6
0435180e0c345d38_S1,5,20230601,2023-06-01 12:21:00,2023-06-01 12:21:00,0.0,1,1,2448.64
0435180e0c345d38_S10,5,20230606,2023-06-06 11:41:00,2023-06-06 11:41:00,0.0,1,1,1934.35
0435180e0c345d38_S2,5,20230601,2023-06-01 21:42:00,2023-06-01 21:42:00,0.0,1,1,1316.68
0435180e0c345d38_S3,5,20230602,2023-06-02 06:35:00,2023-06-02 06:35:00,0.0,1,1,2764.26
0435180e0c345d38_S4,5,20230603,2023-06-03 20:05:00,2023-06-03 20:05:00,0.0,1,1,1771.295
0435180e0c345d38_S5,5,20230603,2023-06-03 21:23:00,2023-06-03 21:23:00,0.0,1,1,1771.295
0435180e0c345d38_S6,5,20230604,2023-06-04 21:51:00,2023-06-04 21:51:00,0.0,1,1,2935.34
0435180e0c345d38_S7,5,20230605,2023-06-05 12:24:00,2023-06-05 12:24:00,0.0,1,1,1664.01
0435180e0c345d38_S8,5,20230605,2023-06-05 19:14:00,2023-06-05 19:14:00,0.0,1,1,2089.6
0435180e0c345d38_S9,5,20230605,2023-06-05 20:28:00,2023-06-05 20:28:00,0.0,1,1,1681.26
05cf31a638f06227_S1,6,20230604,2023-06-04 05:33:00,2023-06-04 05:33:00,0.0,1,1,909.43
05cf31a638f06227_S2,6,20230604,2023-06-04 13:05:00,2023-06-04 13:05:00,0.0,1,1,1643.72
06fabfef48f34687_S1,7,20230601,2023-06-01 20:10:00,2023-06-01 20:10:00,0.0,1,1,1316.68
06fabfef48f34687_S2,7,20230602,2023-06-02 09:59:00,2023-06-02 09:59:00,0.0,1,1,1771.295
06fabfef48f34687_S3,7,20230603,2023-06-03 17:45:00,2023-06-03 17:45:00,0.0,1,1,1686.795
06fabfef48f34687_S4,7,20230604,2023-06-04 02:52:00,2023-06-04 02:52:00,0.0,1,1,1681.26
06fabfef48f34687_S5,7,20230605,2023-06-05 11:20:00,2023-06-05 11:20:00,0.0,1,1,1664.01
07224314810e55aa_S1,8,20230601,2023-06-01 23:33:00,2023-06-01 23:33:00,0.0,1,1,2885.37
07224314810e55aa_S2,8,20230602,2023-06-02 20:59:00,2023-06-02 20:59:00,0.0,1,1,289.79
07224314810e55aa_S3,8,20230603,2023-06-03 12:48:00,2023-06-03 12:48:00,0.0,1,1,1664.01
07224314810e55aa_S4,8,20230603,2023-06-03 21:59:00,2023-06-03 21:59:00,0.0,1,1,1771.295
07224314810e55aa_S5,8,20230604,2023-06-04 07:02:00,2023-06-04 07:02:00,0.0,1,1,1880.75
07224314810e55aa_S6,8,20230605,2023-06-05 09:41:00,2023-06-05 09:41:00,0.0,1,1,1727.715
07224314810e55aa_S7,8,20230605,2023-06-05 11:53:00,2023-06-05 11:53:00,0.0,1,1,1316.68
07224314810e55aa_S8,8,20230605,2023-06-05 13:09:00,2023-06-05 13:09:00,0.0,1,1,1771.295
072a348755cbbc38_S1,9,20230602,2023-06-02 02:59:00,2023-06-02 02:59:00,0.0,1,1,1462.735
072a348755cbbc38_S2,9,20230603,2023-06-03 16:29:00,2023-06-03 16:29:00,0.0,1,1,2361.96
072a348755cbbc38_S3,9,20230605,2023-06-05 16:25:00,2023-06-05 16:25:00,0.0,1,1,1643.72
072a348755cbbc38_S4,9,20230605,2023-06-05 17:50:00,2023-06-05 17:50:00,0.0,1,1,1462.735
072a348755cbbc38_S5,9,20230606,2023-06-06 10:48:00,2023-06-06 10:48:00,0.0,1,1,1686.795
072a348755cbbc38_S6,9,20230606,2023-06-06 17:03:00,2023-06-06 17:03:00,0.0,1,1,1681.26
087a33754f309c57_S1,10,20230601,2023-06-01 15:48:00,2023-06-01 15:48:00,0.0,1,1,1643.72
087a33754f309c57_S2,10,20230603,2023-06-03 09:37:00,2023-06-03 09:42:00,5.0,2,2,2929.9049999999997
087a33754f309c57_S3,10,20230603,2023-06-03 22:54:00,2023-06-03 22:54:00,0.0,1,1,1133.27
087a33754f309c57_S4,10,20230605,2023-06-05 13:41:00,2023-06-05 13:41:00,0.0,1,1,1988.99
087a33754f309c57_S5,10,20230605,2023-06-05 16:06:00,2023-06-05 16:06:00,0.0,1,1,1120.55
087a33754f309c57_S6,10,20230606,2023-06-06 01:14:00,2023-06-06 01:14:00,0.0,1,1,1316.68
087a33754f309c57_S7,10,20230606,2023-06-06 02:51:00,2023-06-06 02:51:00,0.0,1,1,1086.06
0944a2c02853d47b_S1,11,20230602,2023-06-02 05:27:00,2023-06-02 05:27:00,0.0,1,1,1664.01
0944a2c02853d47b_S2,11,20230602,2023-06-02 06:02:00,2023-06-02 06:02:00,0.0,1,1,2160.46
0944a2c02853d47b_S3,11,20230603,2023-06-03 19:41:00,2023-06-03 19:41:00,0.0,1,1,1686.795
0944a2c02853d47b_S4,11,20230604,2023-06-04 13:58:00,2023-06-04 13:58:00,0.0,1,1,1681.26
0944a2c02853d47b_S5,11,20230606,2023-06-06 11:25:00,2023-06-06 11:25:00,0.0,1,1,1643.72
0a617f6aad8b74ad_S1,12,20230601,2023-06-01 17:08:00,2023-06-01 17:08:00,0.0,1,1,1771.295
0a617f6aad8b74ad_S2,12,20230601,2023-06-01 18:01:00,2023-06-01 18:01:00,0.0,1,1,1771.295
0a617f6aad8b74ad_S3,12,20230602,2023-06-02 06:16:00,2023-06-02 06:16:00,0.0,1,1,1426.39
0a617f6aad8b74ad_S4,12,20230602,2023-06-02 12:27:00,2023-06-02 12:27:00,0.0,1,1,1593.37
0a617f6aad8b74ad_S5,12,20230604,2023-06-04 16:25:00,2023-06-04 16:25:00,0.0,1,1,1643.72
0a617f6aad8b74ad_S6,12,20230605,2023-06-05 03:18:00,2023-06-05 03:18:00,0.0,1,1,2593.36
0a617f6aad8b74ad_S7,12,20230605,2023-06-05 22:18:00,2023-06-05 22:18:00,0.0,1,1,1686.795
0ac5a4619bcbffae_S1,13,20230601,2023-06-01 08:22:00,2023-06-01 08:22:00,0.0,1,1,899.79
0ac5a4619bcbffae_S2,13,20230601,2023-06-01 12:16:00,2023-06-01 12:16:00,0.0,1,1,1664.01
0ac5a4619bcbffae_S3,13,20230603,2023-06-03 04:44:00,2023-06-03 04:45:00,1.0,2,2,4164.34
0ac5a4619bcbffae_S4,13,20230603,2023-06-03 15:19:00,2023-06-03 15:19:00,0.0,1,1,1080.93
0aea823e170202ea_S1,14,20230602,2023-06-02 09:55:00,2023-06-02 09:55:00,0.0,1,1,2471.81
0aea823e170202ea_S2,14,20230603,2023-06-03 10:54:00,2023-06-03 10:54:00,0.0,1,1,2595.28
0aea823e170202ea_S3,14,20230604,2023-06-04 08:25:00,2023-06-04 08:33:00,8.0,2,2,2047.005
0aea823e170202ea_S4,14,20230604,2023-06-04 17:04:00,2023-06-04 17:04:00,0.0,1,1,2277.67
0b79b857c3765b2e_S1,15,20230601,2023-06-01 12:38:00,2023-06-01 12:38:00,0.0,1,1,1269.79
0b79b857c3765b2e_S2,15,20230602,2023-06-02 02:25:00,2023-06-02 02:25:00,0.0,1,1,2334.22
0b79b857c3765b2e_S3,15,20230603,2023-06-03 04:13:00,2023-06-03 04:13:00,0.0,1,1,1686.795
0b79b857c3765b2e_S4,15,20230604,2023-06-04 08:04:00,2023-06-04 08:04:00,0.0,1,1,1727.715
0b79b857c3765b2e_S5,15,20230604,2023-06-04 21:26:00,2023-06-04 21:26:00,0.0,1,1,1462.735
0b79b857c3765b2e_S6,15,20230605,2023-06-05 11:06:00,2023-06-05 11:06:00,0.0,1,1,1771.295
0b79b857c3765b2e_S7,15,20230605,2023-06-05 15:25:00,2023-06-05 15:25:00,0.0,1,1,1727.715
0b79b857c3765b2e_S8,15,20230606,2023-06-06 18:16:00,2023-06-06 18:16:00,0.0,1,1,1546.27
0bbd7ccb1dfe8bb6_S1,16,20230601,2023-06-01 08:25:00,2023-06-01 08:25:00,0.0,1,1,1686.795
0bbd7ccb1dfe8bb6_S2,16,20230601,2023-06-01 21:20:00,2023-06-01 21:20:00,0.0,1,1,1771.295
0bbd7ccb1dfe8bb6_S3,16,20230602,2023-06-02 08:08:00,2023-06-02 08:08:00,0.0,1,1,1532.03
0bbd7ccb1dfe8bb6_S4,16,20230605,2023-06-05 17:55:00,2023-06-05 17:55:00,0.0,1,1,2975.83
0bbd7ccb1dfe8bb6_S5,16,20230606,2023-06-06 06:38:00,2023-06-06 06:38:00,0.0,1,1,1462.735
0c80c00c07aa85eb_S1,17,20230602,2023-06-02 10:00:00,2023-06-02 10:00:00,0.0,1,1,1727.715
0c80c00c07aa85eb_S2,17,20230603,2023-06-03 21:11:00,2023-06-03 21:11:00,0.0,1,1,1316.68
0c80c00c07aa85eb_S3,17,20230604,2023-06-04 05:54:00,2023-06-04 05:54:00,0.0,1,1,1681.26
0c80c00c07aa85eb_S4,17,20230605,2023-06-05 18:43:00,2023-06-05 18:43:00,0.0,1,1,2928.89
0c82e5d819b7b05a_S1,18,20230601,2023-06-01 21:17:00,2023-06-01 21:17:00,0.0,1,1,947.3
0c82e5d819b7b05a_S2,18,20230602,2023-06-02 05:17:00,2023-06-02 05:17:00,0.0,1,1,1462.735
0c82e5d819b7b05a_S3,18,20230604,2023-06-04 08:23:00,2023-06-04 08:23:00,0.0,1,1,1681.26
0c82e5d819b7b05a_S4,18,20230605,2023-06-05 16:08:00,2023-06-05 16:08:00,0.0,1,1,1681.26
0c82e5d819b7b05a_S5,18,20230606,2023-06-06 06:51:00,2023-06-06 06:51:00,0.0,1,1,1727.715
0c85c2c4649fdfb4_S1,19,20230601,2023-06-01 14:41:00,2023-06-01 14:41:00,0.0,1,1,1686.795
0c85c2c4649fdfb4_S2,19,20230603,2023-06-03 17:32:00,2023-06-03 17:32:00,0.0,1,1,1727.715
0c85c2c4649fdfb4_S3,19,20230604,2023-06-04 08:45:00,2023-06-04 08:45:00,0.0,1,1,2141.08
0c85c2c4649fdfb4_S4,19,20230604,2023-06-04 09:34:00,2023-06-04 09:34:00,0.0,1,1,1643.72
0c85c2c4649fdfb4_S5,19,20230604,2023-06-04 17:59:00,2023-06-04 17:59:00,0.0,1,1,2538.58
0c85c2c4649fdfb4_S6,19,20230605,2023-06-05 13:40:00,2023-06-05 13:40:00,0.0,1,1,1105.33
0ca5904969f10b1d_S1,20,20230601,2023-06-01 08:04:00,2023-06-01 08:04:00,0.0,1,1,625.98
0ca5904969f10b1d_S2,20,20230603,2023-06-03 11:58:00,2023-06-03 11:58:00,0.0,1,1,533.77
0ca5904969f10b1d_S3,20,20230603,2023-06-03 15:20:00,2023-06-03 15:20:00,0.0,1,1,1429.37
0ca5904969f10b1d_S4,20,20230604,2023-06-04 09:02:00,2023-06-04 09:02:00,0.0,1,1,1462.735
0ca5904969f10b1d_S5,20,20230606,2023-06-06 11:35:00,2023-06-06 11:35:00,0.0,1,1,944.67
0e3c612eb42382e6_S1,21,20230605,2023-06-05 03:25:00,2023-06-05 03:25:00,0.0,1,1,2683.28
0e3c612eb42382e6_S2,21,20230605,2023-06-05 04:45:00,2023-06-05 04:45:00,0.0,1,1,1771.295
0e3c612eb42382e6_S3,21,20230605,2023-06-05 11:32:00,2023-06-05 11:32:00,0.0,1,1,1723.5
0e3c612eb42382e6_S4,21,20230605,2023-06-05 14:05:00,2023-06-05 14:05:00,0.0,1,1,2185.6
0e3c612eb42382e6_S5,21,20230606,2023-06-06 02:48:00,2023-06-06 02:48:00,0.0,1,1,1643.72
0e4bd368f91f95e4_S1,22,20230601,2023-06-01 23:32:00,2023-06-01 23:32:00,0.0,1,1,1686.795
0e4bd368f91f95e4_S2,22,20230604,2023-06-04 13:40:00,2023-06-04 13:40:00,0.0,1,1,2160.94
0e4bd368f91f95e4_S3,22,20230605,2023-06-05 18:19:00,2023-06-05 18:19:00,0.0,1,1,290.38
0f08a4a7470621ce_S1,23,20230601,2023-06-01 17:12:00,2023-06-01 17:12:00,0.0,1,1,238.02
0f08a4a7470621ce_S2,23,20230601,2023-06-01 22:14:00,2023-06-01 22:14:00,0.0,1,1,2912.04
0f08a4a7470621ce_S3,23,20230602,2023-06-02 11:40:00,2023-06-02 11:40:00,0.0,1,1,1681.26
0f08a4a7470621ce_S4,23,20230602,2023-06-02 14:38:00,2023-06-02 14:38:00,0.0,1,1,1643.72
0f08a4a7470621ce_S5,23,20230606,2023-06-06 02:41:00,2023-06-06 02:41:00,0.0,1,1,1771.295
0f08a4a7470621ce_S6,23,20230606,2023-06-06 03:53:00,2023-06-06 03:53:00,0.0,1,1,2181.61
104c4e40cb404b4a_S1,24,20230601,2023-06-01 22:38:00,2023-06-01 22:38:00,0.0,1,1,459.27
104c4e40cb404b4a_S2,24,20230602,2023-06-02 12:38:00,2023-06-02 12:38:00,0.0,1,1,1771.295
104c4e40cb404b4a_S3,24,20230603,2023-06-03 21:23:00,2023-06-03 21:23:00,0.0,1,1,1462.735
104c4e40cb404b4a_S4,24,20230604,2023-06-04 07:28:00,2023-06-04 07:28:00,0.0,1,1,1921.51
104c4e40cb404b4a_S5,24,20230604,2023-06-04 20:58:00,2023-06-04 20:58:00,0.0,1,1,1204.46
104c4e40cb404b4a_S6,24,20230605,2023-06-05 00:43:00,2023-06-05 00:43:00,0.0,1,1,1727.715
108753aaf999dcb8_S1,25,20230601,2023-06-01 11:54:00,2023-06-01 11:54:00,0.0,1,1,1234.88
108753aaf999dcb8_S2,25,20230601,2023-06-01 16:10:00,2023-06-01 16:10:00,0.0,1,1,1643.72
108753aaf999dcb8_S3,25,20230603,2023-06-03 03:00:00,2023-06-03 03:00:00,0.0,1,1,810.87
108753aaf999dcb8_S4,25,20230603,2023-06-03 18:14:00,2023-06-03 18:14:00,0.0,1,1,1248.97
108753aaf999dcb8_S5,25,20230605,2023-06-05 12:36:00,2023-06-05 12:36:00,0.0,1,1,2704.26
1146cb24ebca84e7_S1,26,20230601,2023-06-01 18:23:00,2023-06-01 18:23:00,0.0,1,1,1316.68
1146cb24ebca84e7_S2,26,20230603,2023-06-03 09:35:00,2023-06-03 09:35:00,0.0,1,1,2436.31
1146cb24ebca84e7_S3,26,20230604,2023-06-04 22:06:00,2023-06-04 22:06:00,0.0,1,1,1643.72
1178451350f4b7bf_S1,27,20230601,2023-06-01 10:37:00,2023-06-01 10:37:00,0.0,1,1,2179.23
1178451350f4b7bf_S2,27,20230602,2023-06-02 20:05:00,2023-06-02 20:05:00,0.0,1,1,1686.795
1178451350f4b7bf_S3,27,20230603,2023-06-03 08:36:00,2023-06-03 08:36:00,0.0,1,1,1686.795
1178451350f4b7bf_S4,27,20230605,2023-06-05 07:02:00,2023-06-05 07:02:00,0.0,1,1,1593.51
1178451350f4b7bf_S5,27,20230605,2023-06-05 11:07:00,2023-06-05 11:07:00,0.0,1,1,1772.55
1270bfa0b0992e1b_S1,28,20230602,2023-06-02 23:19:00,2023-06-02 23:19:00,0.0,1,1,2731.71
1270bfa0b0992e1b_S2,28,20230604,2023-06-04 09:00:00,2023-06-04 09:00:00,0.0,1,1,2788.94
1270bfa0b0992e1b_S3,28,20230604,2023-06-04 12:18:00,2023-06-04 12:18:00,0.0,1,1,1727.66
